created_at,solved_at,average hours to resolution,initial_response,month created,cases count,channel,satisfaction,subject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metric_set_id,metric_set_full_resolution_time_in_minutes_business,metric_set_agent_wait_time_in_minutes_calendar,via_source_from_address,via_source_from_name,via_source_to_address,via_source_to_name,via_source_rel,requester_domain,submitter_domain,assignee_domain,Username__c,Order ID__c,Username of person being reported__c,Links to evidence of abuse__c,satisfaction_rating_id,satisfaction_rating_comment,via_source_from_ticket_id,via_source_from_subject,_BATCH_ID_,_BATCH_LAST_RUN_
4/13/17 0:00,7/9/17 0:00,12,1728,2017-04,GcywvyUC,api,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x6qaXktc,,0,Hyacinth@modocorp.com,Lavinia House,Forrest@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
6/23/17 0:00,4/20/17 0:00,3,2315,2017-06,DKghIyle,api,unoffered,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dep6ax2j,,1,Quail@modocorp.com,Yuri Bean,Ifeoma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
4/26/17 0:00,1/14/18 0:00,34,3357,2017-04,CNZVNZu7,api,good,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OuLWZ6qm,,1,Sylvia@modocorp.com,Jason Whitfield,Inga@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
12/14/17 0:00,11/18/17 0:00,46,2491,2017-12,BYp6mHhX,email,bad,need help on email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VzEVjFJx,,0,Kendall@modocorp.com,Faith Conner,Blaine@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,A bit slow. Still reliable.,,,1,3/31/18 21:04
11/22/17 0:00,2/22/18 0:00,36,85,2017-11,IDheWPwq,api,good,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hxo53H5k,,0,Naida@modocorp.com,Zorita Adams,Wilma@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,Big thanks.,,,1,3/31/18 21:04
6/7/17 0:00,4/20/17 0:00,10,1769,2017-06,M4p5QDx0,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0mUqH7pZ,,0,Fletcher@modocorp.com,Jenna Tucker,Karina@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
3/26/18 0:00,10/9/17 0:00,31,1584,2018-03,Vwh8rdYa,email,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xAAvUNOw,,1,Forrest@modocorp.com,Dillon Keller,Lavinia@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
10/30/17 0:00,11/13/17 0:00,21,320,2017-10,Yo1Lcmi1,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lnpx67LH,,0,Tamekah@modocorp.com,Chaim Vincent,Xaviera@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
3/28/18 0:00,6/2/17 0:00,36,2635,2018-03,5B4pN7mG,api,bad,looking for a bug fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m6K4hF2s,,1,Fletcher@modocorp.com,Jenna Tucker,Karina@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,thank you!,,,1,3/31/18 21:04
6/7/17 0:00,3/14/18 0:00,29,902,2017-06,pb8vVtrt,api,good,need help downloading software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h44cu2q6,,1,Venus@modocorp.com,Jescie Tucker,Lila@modocorp.com,DeviantArt,,openroadmedia.com,openroadmedia.com,deviantart.com,,,,,,huge thanks for the fast response,,,1,3/31/18 21:04
